2026-05-30 19:44:28 | INFO     | validator:82 | DataValidator initialised for file: C:\Users\Ahmed\AppData\Local\Temp\pytest-of-Ahmed\pytest-0\test_total_missing0\dirty.csv
2026-05-30 19:44:28 | DEBUG    | validator:119 | Loading CSV file …
2026-05-30 19:44:28 | INFO     | validator:121 | CSV loaded: 4 rows × 4 columns.
2026-05-30 19:44:28 | DEBUG    | validator:125 | Computing dataset shape …
2026-05-30 19:44:28 | DEBUG    | validator:131 | Inspecting column data types …
2026-05-30 19:44:28 | DEBUG    | validator:136 | Counting missing values …
2026-05-30 19:44:28 | INFO     | validator:150 | Total missing values: 3 across 4 columns.
2026-05-30 19:44:28 | DEBUG    | validator:158 | Checking for duplicate rows …
2026-05-30 19:44:28 | INFO     | validator:160 | Duplicate rows found: 1
2026-05-30 19:44:28 | DEBUG    | validator:164 | Computing numeric column statistics …
2026-05-30 19:44:28 | INFO     | validator:177 | Numeric stats computed for columns: ['id', 'age', 'salary']
2026-05-30 19:44:28 | INFO     | validator:105 | Validation completed successfully.
2026-05-30 19:44:28 | INFO     | validator:82 | DataValidator initialised for file: C:\Users\Ahmed\AppData\Local\Temp\pytest-of-Ahmed\pytest-0\test_duplicate_rows0\dirty.csv
2026-05-30 19:44:28 | DEBUG    | validator:119 | Loading CSV file …
2026-05-30 19:44:28 | INFO     | validator:121 | CSV loaded: 4 rows × 4 columns.
2026-05-30 19:44:28 | DEBUG    | validator:125 | Computing dataset shape …
2026-05-30 19:44:28 | DEBUG    | validator:131 | Inspecting column data types …
2026-05-30 19:44:28 | DEBUG    | validator:136 | Counting missing values …
2026-05-30 19:44:28 | INFO     | validator:150 | Total missing values: 3 across 4 columns.
2026-05-30 19:44:28 | DEBUG    | validator:158 | Checking for duplicate rows …
2026-05-30 19:44:28 | INFO     | validator:160 | Duplicate rows found: 1
2026-05-30 19:44:28 | DEBUG    | validator:164 | Computing numeric column statistics …
2026-05-30 19:44:28 | INFO     | validator:177 | Numeric stats computed for columns: ['id', 'age', 'salary']
2026-05-30 19:44:28 | INFO     | validator:105 | Validation completed successfully.
2026-05-30 19:44:28 | INFO     | validator:82 | DataValidator initialised for file: C:\Users\Ahmed\AppData\Local\Temp\pytest-of-Ahmed\pytest-0\test_missing_pct_name0\dirty.csv
2026-05-30 19:44:28 | DEBUG    | validator:119 | Loading CSV file …
2026-05-30 19:44:28 | INFO     | validator:121 | CSV loaded: 4 rows × 4 columns.
2026-05-30 19:44:28 | DEBUG    | validator:125 | Computing dataset shape …
2026-05-30 19:44:28 | DEBUG    | validator:131 | Inspecting column data types …
2026-05-30 19:44:28 | DEBUG    | validator:136 | Counting missing values …
2026-05-30 19:44:28 | INFO     | validator:150 | Total missing values: 3 across 4 columns.
2026-05-30 19:44:28 | DEBUG    | validator:158 | Checking for duplicate rows …
2026-05-30 19:44:28 | INFO     | validator:160 | Duplicate rows found: 1
2026-05-30 19:44:28 | DEBUG    | validator:164 | Computing numeric column statistics …
2026-05-30 19:44:28 | INFO     | validator:177 | Numeric stats computed for columns: ['id', 'age', 'salary']
2026-05-30 19:44:28 | INFO     | validator:105 | Validation completed successfully.
2026-05-30 19:44:28 | INFO     | validator:82 | DataValidator initialised for file: C:\Users\Ahmed\AppData\Local\Temp\pytest-of-Ahmed\pytest-0\test_txt_file_created0\clean.csv
2026-05-30 19:44:28 | DEBUG    | validator:119 | Loading CSV file …
2026-05-30 19:44:28 | INFO     | validator:121 | CSV loaded: 3 rows × 4 columns.
2026-05-30 19:44:28 | DEBUG    | validator:125 | Computing dataset shape …
2026-05-30 19:44:28 | DEBUG    | validator:131 | Inspecting column data types …
2026-05-30 19:44:28 | DEBUG    | validator:136 | Counting missing values …
2026-05-30 19:44:28 | INFO     | validator:150 | Total missing values: 0 across 4 columns.
2026-05-30 19:44:28 | DEBUG    | validator:158 | Checking for duplicate rows …
2026-05-30 19:44:28 | INFO     | validator:160 | Duplicate rows found: 0
2026-05-30 19:44:28 | DEBUG    | validator:164 | Computing numeric column statistics …
2026-05-30 19:44:28 | INFO     | validator:177 | Numeric stats computed for columns: ['id', 'age', 'salary']
2026-05-30 19:44:28 | INFO     | validator:105 | Validation completed successfully.
2026-05-30 19:44:28 | INFO     | report_generator:40 | ReportGenerator ready. Output dir: C:\Users\Ahmed\AppData\Local\Temp\pytest-of-Ahmed\pytest-0\test_txt_file_created0\output
2026-05-30 19:44:28 | INFO     | report_generator:64 | Generating TXT report …
2026-05-30 19:44:28 | DEBUG    | report_generator:189 | Wrote TXT report: C:\Users\Ahmed\AppData\Local\Temp\pytest-of-Ahmed\pytest-0\test_txt_file_created0\output\report_20260530_194428.txt
2026-05-30 19:44:28 | DEBUG    | report_generator:189 | Wrote TXT report: C:\Users\Ahmed\AppData\Local\Temp\pytest-of-Ahmed\pytest-0\test_txt_file_created0\output\report.txt
2026-05-30 19:44:28 | INFO     | report_generator:69 | Generating CSV report …
2026-05-30 19:44:28 | DEBUG    | report_generator:196 | Wrote CSV report: C:\Users\Ahmed\AppData\Local\Temp\pytest-of-Ahmed\pytest-0\test_txt_file_created0\output\report_20260530_194428.csv
2026-05-30 19:44:28 | DEBUG    | report_generator:196 | Wrote CSV report: C:\Users\Ahmed\AppData\Local\Temp\pytest-of-Ahmed\pytest-0\test_txt_file_created0\output\report.csv
2026-05-30 19:44:28 | INFO     | report_generator:74 | Reports saved → C:\Users\Ahmed\AppData\Local\Temp\pytest-of-Ahmed\pytest-0\test_txt_file_created0\output\report_20260530_194428.txt | C:\Users\Ahmed\AppData\Local\Temp\pytest-of-Ahmed\pytest-0\test_txt_file_created0\output\report_20260530_194428.csv
2026-05-30 19:44:28 | INFO     | validator:82 | DataValidator initialised for file: C:\Users\Ahmed\AppData\Local\Temp\pytest-of-Ahmed\pytest-0\test_csv_file_created0\clean.csv
2026-05-30 19:44:28 | DEBUG    | validator:119 | Loading CSV file …
2026-05-30 19:44:28 | INFO     | validator:121 | CSV loaded: 3 rows × 4 columns.
2026-05-30 19:44:28 | DEBUG    | validator:125 | Computing dataset shape …
2026-05-30 19:44:28 | DEBUG    | validator:131 | Inspecting column data types …
2026-05-30 19:44:28 | DEBUG    | validator:136 | Counting missing values …
2026-05-30 19:44:28 | INFO     | validator:150 | Total missing values: 0 across 4 columns.
2026-05-30 19:44:28 | DEBUG    | validator:158 | Checking for duplicate rows …
2026-05-30 19:44:28 | INFO     | validator:160 | Duplicate rows found: 0
2026-05-30 19:44:28 | DEBUG    | validator:164 | Computing numeric column statistics …
2026-05-30 19:44:28 | INFO     | validator:177 | Numeric stats computed for columns: ['id', 'age', 'salary']
2026-05-30 19:44:28 | INFO     | validator:105 | Validation completed successfully.
2026-05-30 19:44:28 | INFO     | report_generator:40 | ReportGenerator ready. Output dir: C:\Users\Ahmed\AppData\Local\Temp\pytest-of-Ahmed\pytest-0\test_csv_file_created0\output
2026-05-30 19:44:28 | INFO     | report_generator:64 | Generating TXT report …
